No.,企業名,カテゴリ,運営会社,都道府県,住所詳細,担当部署,代表電話,メールアドレス,公式URL,規模・店舗数,主要サービス,営業状況,PRTIMES掲載実績,収集状況,備考
2245,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2246,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2247,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2248,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2249,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2250,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2251,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2252,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2253,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2254,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2255,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2256,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2257,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2258,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2259,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2260,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2261,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2262,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2263,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2264,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2265,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2266,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2267,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2268,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2269,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2270,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2271,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2272,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2273,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2274,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2275,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2276,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2277,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2278,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2279,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2280,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2281,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2282,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2283,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2284,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2285,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2286,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2287,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2288,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2289,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2290,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2291,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2292,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2293,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2294,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2295,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2296,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2297,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2298,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2299,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2300,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2301,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2302,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2303,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2304,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2305,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2306,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2307,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2308,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
2309,,化粧品メーカー,,東京都,,,,,,,化粧品メーカー関連サービス,営業中（推定）,,未収集,収集元推奨: 日本化粧品工業会(JCIA)会員 / 国税庁法人番号DB
